               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099752,            0.022258,                   0,             0.38167,             0.35629,             0.31292,             0.14469,            0.075226,             0.01171,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.064338,            0.022225,                   0,             0.41694,             0.63473,             0.54291,             0.29173,            0.059476,           0.0090159,                   0,            0.046877,           0.0058766,           0.0058766
                   2,            0.053236,            0.019679,                   0,             0.66973,             0.57071,             0.63739,             0.35011,            0.050309,           0.0072029,                   0,             0.01983,           0.0088295,           0.0088295
                   3,            0.047685,            0.017675,                   0,             0.79062,             0.64072,             0.75032,             0.39319,            0.053479,            0.006798,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,            0.044906,             0.01747,                   0,             0.62812,             0.49102,             0.54071,             0.29391,            0.049361,           0.0081758,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,            0.042227,            0.016787,                   0,             0.81689,              0.7515,             0.82402,             0.50467,            0.043979,            0.006691,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,            0.041064,            0.016865,                   0,             0.73792,             0.59281,             0.67975,             0.42533,            0.047605,           0.0074288,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.040302,            0.016513,                   0,             0.84661,             0.65868,             0.74491,             0.47246,            0.044999,           0.0075448,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.039023,            0.016129,                   0,             0.81804,             0.74033,             0.82747,              0.5292,            0.036484,           0.0062002,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.037707,            0.015526,                   0,             0.86175,             0.78381,             0.87029,             0.55802,            0.035909,           0.0062655,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.036304,            0.015373,                   0,             0.84743,              0.7515,             0.83386,             0.54091,            0.038704,           0.0061334,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.036193,            0.015376,                   0,             0.90685,             0.77246,             0.88326,             0.56609,            0.035807,           0.0058958,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.035674,            0.015331,                   0,               0.794,             0.81138,             0.85507,             0.53551,            0.034859,           0.0060975,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.034343,            0.014721,                   0,             0.87296,             0.78182,             0.87905,              0.5952,            0.035651,           0.0058549,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.034794,            0.014712,                   0,             0.87337,             0.80539,             0.88211,             0.60271,            0.034854,           0.0057881,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.034099,            0.014622,                   0,             0.85274,             0.78443,             0.86812,             0.58645,            0.036738,            0.005719,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.032808,            0.014554,                   0,             0.91886,             0.81737,             0.89278,             0.62663,            0.034332,           0.0054147,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.033407,            0.014293,                   0,             0.89398,             0.82036,             0.90203,             0.60862,            0.033624,           0.0056158,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.033469,             0.01425,                   0,             0.88618,             0.83921,             0.90789,             0.61099,            0.033088,           0.0052435,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.032723,            0.014151,                   0,             0.91388,             0.81737,             0.90295,             0.63642,             0.03339,           0.0053142,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.031895,            0.013952,                   0,             0.87105,             0.80539,             0.88919,              0.6171,            0.033713,           0.0055485,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.031886,            0.013556,                   0,             0.86034,              0.8115,              0.8954,             0.58732,            0.034099,           0.0056063,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.031908,            0.013931,                   0,             0.85707,             0.86178,              0.9139,             0.62802,            0.032553,            0.005258,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.031506,            0.013785,                   0,             0.88846,             0.82635,             0.88677,             0.60948,            0.033746,            0.005458,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.030479,            0.013733,                   0,             0.90675,             0.88323,             0.94632,             0.64362,            0.031296,           0.0050666,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.030633,            0.013876,                   0,             0.88044,              0.8024,             0.89654,             0.60246,             0.03403,           0.0051788,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,             0.03046,            0.013551,                   0,              0.9173,             0.85329,             0.92943,             0.64785,            0.032685,            0.005068,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.030236,            0.013687,                   0,             0.88245,             0.85413,             0.91247,             0.57782,            0.032836,           0.0053993,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.030624,            0.013286,                   0,             0.90191,             0.85329,             0.91842,             0.62523,            0.033365,           0.0052459,                   0,           0.0089308,           0.0089308,           0.0089308
                  29,            0.029546,            0.013359,                   0,             0.90899,             0.83734,             0.92265,             0.63212,            0.033077,           0.0053257,                   0,           0.0088912,           0.0088912,           0.0088912
                  30,            0.029435,             0.01308,                   0,             0.89301,             0.82467,              0.9013,              0.6331,            0.033324,           0.0053267,                   0,           0.0088516,           0.0088516,           0.0088516
                  31,            0.029539,            0.013021,                   0,             0.90854,             0.84731,             0.92431,             0.64736,            0.032376,           0.0051623,                   0,            0.008812,            0.008812,            0.008812
                  32,            0.029923,            0.013602,                   0,             0.93623,             0.79341,             0.90187,             0.63844,            0.032867,           0.0060504,                   0,           0.0087724,           0.0087724,           0.0087724
                  33,            0.029081,            0.013058,                   0,              0.9263,             0.82934,             0.91397,             0.63025,            0.033576,           0.0052266,                   0,           0.0087328,           0.0087328,           0.0087328
                  34,             0.02871,             0.01283,                   0,             0.91476,             0.84731,             0.93042,               0.639,            0.032609,           0.0050642,                   0,           0.0086932,           0.0086932,           0.0086932
                  35,            0.028637,            0.012779,                   0,             0.91129,             0.87425,             0.92033,             0.64951,            0.032651,           0.0051216,                   0,           0.0086536,           0.0086536,           0.0086536
                  36,            0.028853,            0.013126,                   0,              0.9253,             0.85302,             0.93888,             0.64064,            0.032772,           0.0051955,                   0,            0.008614,            0.008614,            0.008614
                  37,            0.027911,            0.012641,                   0,             0.90788,             0.84431,             0.91632,             0.63088,             0.03257,           0.0051512,                   0,           0.0085744,           0.0085744,           0.0085744
                  38,            0.028016,             0.01248,                   0,             0.91519,             0.87236,             0.93429,             0.64463,            0.032607,           0.0050821,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.028116,             0.01261,                   0,             0.93218,             0.86415,             0.94201,             0.64457,             0.03188,           0.0052738,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,             0.02833,            0.012398,                   0,             0.91559,             0.86527,              0.9325,             0.64757,            0.032508,           0.0052082,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.027979,            0.012751,                   0,              0.9478,             0.81551,              0.9357,             0.65105,             0.03146,           0.0053273,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.027953,            0.012374,                   0,             0.90355,             0.84132,             0.92568,              0.6653,            0.031198,           0.0051728,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.027066,            0.012447,                   0,             0.92541,             0.87425,             0.93916,             0.65719,            0.030667,           0.0050211,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.027127,            0.012425,                   0,             0.95316,             0.85329,             0.93996,              0.6678,            0.031723,           0.0048996,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.026846,            0.012104,                   0,             0.94073,             0.85534,             0.92971,              0.6503,            0.031091,           0.0053427,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.027368,            0.012456,                   0,             0.92831,             0.89166,             0.94477,             0.67712,            0.031919,           0.0049892,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.026935,            0.012269,                   0,             0.91906,             0.84987,             0.92113,             0.63843,            0.032031,           0.0051653,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,             0.02655,            0.012208,                   0,             0.94589,             0.83746,             0.92412,             0.62282,             0.03331,           0.0053489,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.026895,            0.011985,                   0,              0.9355,             0.87725,              0.9351,             0.67434,            0.031617,           0.0049971,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.026551,            0.012248,                   0,             0.94298,              0.8418,             0.91823,             0.65178,            0.032822,           0.0054681,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.026316,            0.011976,                   0,             0.92878,             0.85893,             0.92782,             0.65302,            0.030907,           0.0051373,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.026555,            0.012187,                   0,             0.93351,             0.88323,             0.93899,             0.66147,            0.031052,           0.0050281,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.026393,            0.012125,                   0,             0.93197,             0.86135,             0.94139,             0.65292,            0.031279,            0.005196,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,             0.02583,             0.01159,                   0,             0.91883,             0.87126,             0.93013,             0.66777,            0.031064,           0.0052229,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.025934,            0.011889,                   0,             0.92272,             0.85629,             0.92957,             0.64679,            0.032001,           0.0052425,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.025685,            0.011593,                   0,             0.92463,             0.88147,             0.94233,             0.66138,            0.030433,            0.005097,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.025455,             0.01182,                   0,              0.9183,             0.87498,             0.93585,             0.67198,            0.032233,           0.0051006,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.025635,            0.011615,                   0,             0.92659,             0.85329,             0.91667,             0.64772,            0.032441,           0.0053088,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.025752,            0.011573,                   0,              0.9335,             0.88259,             0.94456,             0.67288,            0.031593,           0.0049713,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.025323,            0.011558,                   0,             0.92472,             0.88263,             0.94253,             0.67804,            0.031132,           0.0051252,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.024698,            0.011388,                   0,             0.93476,             0.85794,             0.92663,             0.66223,             0.03246,           0.0051228,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.025298,            0.011623,                   0,             0.94772,             0.86831,             0.93744,             0.66728,            0.031462,           0.0051635,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,            0.025017,            0.011696,                   0,             0.93562,             0.86228,             0.93476,             0.65069,            0.031729,           0.0052099,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.025466,            0.011658,                   0,             0.93502,             0.86162,             0.93209,             0.66621,            0.031566,           0.0052826,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.024961,            0.011452,                   0,             0.91368,             0.87126,               0.931,             0.64417,            0.033086,           0.0052227,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.025195,            0.011235,                   0,              0.9172,              0.8503,             0.93104,             0.64348,            0.031989,           0.0052381,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.024898,            0.011305,                   0,             0.92882,             0.85949,             0.92864,             0.67512,            0.030773,           0.0055051,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.024342,            0.011066,                   0,             0.93053,             0.88226,             0.94103,             0.66897,             0.03069,            0.005252,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.024514,            0.011405,                   0,             0.94254,             0.86826,              0.9357,             0.66686,            0.030944,           0.0052103,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.024502,            0.011262,                   0,             0.93037,             0.88013,             0.94738,             0.68273,            0.031288,           0.0052373,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,             0.02429,            0.011418,                   0,             0.91822,             0.90419,             0.94201,             0.67044,            0.031007,           0.0052133,                   0,            0.007228,            0.007228,            0.007228
                  72,            0.024364,            0.011118,                   0,             0.94754,             0.86826,             0.93259,             0.68181,            0.030653,           0.0053865,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.024099,            0.011461,                   0,             0.92831,             0.86826,             0.93582,             0.66789,            0.031672,           0.0050954,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.023748,            0.011359,                   0,             0.91472,             0.90419,             0.95182,             0.69377,            0.030817,           0.0047934,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,            0.023746,            0.011116,                   0,             0.94577,             0.88623,             0.94582,             0.67278,            0.031149,           0.0049254,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,             0.02369,            0.010946,                   0,             0.95454,             0.88008,             0.94457,             0.68086,            0.031599,           0.0053108,                   0,             0.00703,             0.00703,             0.00703
                  77,             0.02393,            0.011049,                   0,             0.94236,             0.88102,             0.94021,             0.69185,            0.030423,           0.0054096,                   0,           0.0069904,           0.0069904,           0.0069904
                  78,            0.023574,            0.011314,                   0,             0.93552,             0.88623,             0.94944,             0.68657,            0.030233,           0.0050706,                   0,           0.0069508,           0.0069508,           0.0069508
                  79,             0.02363,            0.011069,                   0,             0.95479,             0.88527,              0.9363,             0.66921,            0.031044,            0.005376,                   0,           0.0069112,           0.0069112,           0.0069112
                  80,            0.023217,            0.010955,                   0,             0.95805,             0.88885,               0.944,             0.68175,            0.031327,           0.0051703,                   0,           0.0068716,           0.0068716,           0.0068716
                  81,            0.023633,            0.010959,                   0,             0.95973,             0.88623,             0.94458,             0.67035,            0.030684,           0.0049915,                   0,            0.006832,            0.006832,            0.006832
                  82,            0.023023,            0.011026,                   0,             0.94836,             0.87968,             0.94463,              0.6641,            0.031336,           0.0052803,                   0,           0.0067924,           0.0067924,           0.0067924
                  83,            0.023153,            0.010839,                   0,             0.93081,             0.88614,             0.93807,             0.65747,            0.031866,           0.0053128,                   0,           0.0067528,           0.0067528,           0.0067528
                  84,            0.023066,            0.010667,                   0,             0.94299,             0.89146,             0.94198,             0.67211,            0.032832,           0.0054521,                   0,           0.0067132,           0.0067132,           0.0067132
                  85,            0.023304,            0.011055,                   0,             0.96691,               0.875,             0.93681,             0.69137,            0.031045,           0.0053537,                   0,           0.0066736,           0.0066736,           0.0066736
                  86,             0.02304,            0.010649,                   0,             0.93937,             0.88142,             0.94312,             0.68416,            0.031761,           0.0053203,                   0,            0.006634,            0.006634,            0.006634
                  87,            0.023209,            0.010724,                   0,             0.92372,             0.86228,             0.92402,              0.6606,            0.031026,           0.0055805,                   0,           0.0065944,           0.0065944,           0.0065944
                  88,            0.023343,            0.011073,                   0,             0.93334,             0.88024,             0.93717,             0.66584,            0.031301,           0.0052749,                   0,           0.0065548,           0.0065548,           0.0065548
                  89,            0.023227,            0.010932,                   0,             0.95721,             0.88623,             0.94131,             0.67195,            0.031547,           0.0054879,                   0,           0.0065152,           0.0065152,           0.0065152
                  90,            0.022628,            0.010758,                   0,             0.91178,             0.90719,             0.94372,             0.67429,            0.031231,           0.0052979,                   0,           0.0064756,           0.0064756,           0.0064756
                  91,            0.022619,            0.010462,                   0,             0.94741,             0.88623,             0.94119,             0.66238,            0.030988,           0.0051932,                   0,            0.006436,            0.006436,            0.006436
                  92,            0.022954,            0.010609,                   0,             0.96343,             0.86759,             0.94398,             0.67763,            0.031318,           0.0052435,                   0,           0.0063964,           0.0063964,           0.0063964
                  93,            0.022616,            0.010501,                   0,             0.95215,             0.89365,             0.93534,             0.66606,            0.031123,           0.0052252,                   0,           0.0063568,           0.0063568,           0.0063568
                  94,            0.022664,            0.010742,                   0,             0.95371,             0.88623,             0.94055,             0.68662,            0.032138,           0.0051405,                   0,           0.0063172,           0.0063172,           0.0063172
                  95,            0.022905,            0.010685,                   0,             0.93012,             0.87673,             0.93102,             0.68487,            0.032469,           0.0051792,                   0,           0.0062776,           0.0062776,           0.0062776
                  96,            0.022517,            0.010526,                   0,             0.95323,             0.85435,             0.93028,             0.68597,            0.031779,           0.0050974,                   0,            0.006238,            0.006238,            0.006238
                  97,            0.021976,            0.010366,                   0,             0.95714,              0.8691,             0.93374,             0.70239,            0.030564,           0.0052691,                   0,           0.0061984,           0.0061984,           0.0061984
                  98,            0.022425,             0.01034,                   0,             0.95568,             0.87126,             0.93031,             0.68441,            0.030782,           0.0054077,                   0,           0.0061588,           0.0061588,           0.0061588
                  99,             0.02216,            0.010131,                   0,              0.9507,             0.85329,             0.91901,             0.65379,            0.031517,            0.005426,                   0,           0.0061192,           0.0061192,           0.0061192
                 100,            0.022365,            0.010236,                   0,             0.90858,             0.84132,             0.91178,             0.66326,            0.031625,           0.0057516,                   0,           0.0060796,           0.0060796,           0.0060796
                 101,             0.02187,            0.010231,                   0,             0.94191,             0.87391,             0.93514,             0.66708,            0.030228,           0.0056218,                   0,             0.00604,             0.00604,             0.00604
                 102,            0.021866,            0.010346,                   0,             0.93023,             0.87126,             0.94291,             0.69332,            0.030151,           0.0053837,                   0,           0.0060004,           0.0060004,           0.0060004
                 103,            0.022079,            0.010276,                   0,             0.95151,             0.85329,             0.93984,              0.6871,             0.02965,           0.0052576,                   0,           0.0059608,           0.0059608,           0.0059608
                 104,            0.021911,            0.010405,                   0,             0.92379,             0.87106,             0.92511,             0.68427,            0.031567,           0.0056672,                   0,           0.0059212,           0.0059212,           0.0059212
                 105,             0.02156,           0.0099531,                   0,             0.93659,             0.88623,             0.93301,             0.69926,            0.031202,            0.005117,                   0,           0.0058816,           0.0058816,           0.0058816
                 106,            0.021462,            0.010242,                   0,             0.94773,             0.86527,             0.93988,             0.69484,            0.031385,           0.0051506,                   0,            0.005842,            0.005842,            0.005842
                 107,            0.022193,            0.010277,                   0,             0.95399,             0.86909,             0.93292,             0.70269,             0.03098,           0.0055822,                   0,           0.0058024,           0.0058024,           0.0058024
                 108,            0.021775,            0.010443,                   0,             0.92343,             0.86655,             0.92855,             0.69702,            0.030777,           0.0052171,                   0,           0.0057628,           0.0057628,           0.0057628
                 109,            0.021998,            0.010529,                   0,             0.94842,             0.88077,             0.94725,             0.70297,            0.030018,            0.005201,                   0,           0.0057232,           0.0057232,           0.0057232
                 110,            0.021353,            0.010256,                   0,             0.96357,             0.86826,             0.93462,             0.69739,            0.030087,           0.0056198,                   0,           0.0056836,           0.0056836,           0.0056836
                 111,            0.020698,            0.010137,                   0,             0.95726,             0.87425,             0.93696,             0.69464,            0.030273,           0.0053017,                   0,            0.005644,            0.005644,            0.005644
                 112,             0.02111,            0.010185,                   0,              0.9386,             0.86963,             0.93563,             0.69866,            0.030068,           0.0052786,                   0,           0.0056044,           0.0056044,           0.0056044
                 113,             0.02175,             0.01036,                   0,             0.94599,             0.89154,             0.93871,             0.70428,            0.031328,           0.0051192,                   0,           0.0055648,           0.0055648,           0.0055648
                 114,             0.02133,            0.010303,                   0,             0.94572,             0.89222,              0.9442,             0.69915,            0.030626,           0.0051299,                   0,           0.0055252,           0.0055252,           0.0055252
                 115,            0.021624,            0.010115,                   0,             0.95647,             0.85528,              0.9343,              0.7021,            0.031318,           0.0051631,                   0,           0.0054856,           0.0054856,           0.0054856
                 116,            0.021213,            0.010099,                   0,             0.95143,             0.87969,             0.93577,             0.70806,            0.031527,           0.0054212,                   0,            0.005446,            0.005446,            0.005446
                 117,            0.020777,            0.010064,                   0,             0.91551,             0.91018,             0.94205,             0.68642,            0.031002,           0.0053227,                   0,           0.0054064,           0.0054064,           0.0054064
                 118,            0.020959,            0.010009,                   0,             0.96054,             0.87425,             0.93757,             0.70024,            0.031802,           0.0055674,                   0,           0.0053668,           0.0053668,           0.0053668
                 119,            0.020775,            0.010003,                   0,             0.93896,             0.87503,             0.93806,             0.70618,            0.030635,            0.005335,                   0,           0.0053272,           0.0053272,           0.0053272
                 120,            0.020642,            0.010045,                   0,             0.95978,              0.8573,             0.94397,             0.70831,            0.030279,           0.0050762,                   0,           0.0052876,           0.0052876,           0.0052876
                 121,             0.02033,           0.0099691,                   0,             0.95339,             0.85731,              0.9322,             0.69836,            0.030808,           0.0051318,                   0,            0.005248,            0.005248,            0.005248
                 122,            0.020604,           0.0098707,                   0,             0.95024,             0.88922,             0.93674,             0.70623,            0.030624,           0.0053074,                   0,           0.0052084,           0.0052084,           0.0052084
                 123,            0.020219,           0.0099267,                   0,             0.94615,             0.89422,             0.94082,             0.68332,            0.030687,           0.0051879,                   0,           0.0051688,           0.0051688,           0.0051688
